,tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating,Comments,Tags
0,Theater,1105,University of Hawaii at Hilo,Rob,,Abe,531711,13,good,TEACHER,PROFESSOR,4.4,"[""I actually didn't take his class but worked for him at the theatre for a semester. Like others said, he's quite sarcastic but it made the work fun and his criticism will give you thick skin lol. Get on his level and hurl insults right back at him and he'll like you forever. Rob was so cool I might actually take his class just for fun."", 'Rob is SO much fun! DRAM280 is a fast-paced class because you go through carpentry, light/sound design, stage rigging, electrics, etc. in the course of one semester, so attendance is crucial to keep up, plus you have to assist as run crew in school theater/music/dance productions. Learning all the behind the scenes stuff was so valuable!', 'Rob is an awesome teacher! He is super funny and definitely tries to keep the class alive and having fun. His exams are a little hard. Watts/Volts/Amps on every exam. Overall this class was a very exciting class! I got to learn about stuff way out of my major (ex. tools, paint, lighting, electricity, stage stuff etc.)', ""he's hilarious"", ""Rob has YEARS of professional experience, which in some cases (like in what he's teaching) is more valuable than a PhD.  Students come out of his classes well-trained, capable & confident, able to work at a professional level."", 'Fun Professor', 'Was very helpful but is very strict and critiques a lot, but understanding about problems.', 'No Comments', 'No Comments', 'No Comments', ""Gotta love Rob. He's a great guy.  Watch out though, if you don't understand his humor you're likely to get hurt feelings. But I can tell you with 100% certainty that he doesn't mean it that way. He's a real sweetie at heart and would never intentionally hurt someone's feelings. He's just sarcastic."", ""It's fun to have his sarcastic and witty comments to tell you that he's just a normal guy!!"", 'Great guy, knows his stuff. You will learn a lot with him.']","['Hilarious', 'Participation matters', 'Caring', 'Respected', 'Hilarious', 'Caring']"
1,Science,1105,University of Hawaii at Hilo,Jason,,Adolf,2139044,0,zero,TEACHER,PROFESSOR,N/A,[],[]
2,Sociology,1105,University of Hawaii at Hilo,Rachelle,,Agrigado,2093269,2,good,TEACHER,PROFESSOR,4.5,"['She is an awesome teacher and she is very helpful.', ""Professor Agrigado teaches straight out of the textbook, but the textbook isn't required. She writes notes on the board for you to copy but it's not necessary for you to write down. She gives a study guide before all exams and it'll have all of the notes on there. However, it is keen for you study hard the exams. The only homework is papers.""]","['Gives good feedback', 'Tough grader', 'Amazing lectures', 'Clear grading criteria', 'Caring', 'Gives good feedback', 'Clear grading criteria', 'Amazing lectures']"
3,Political Science,1105,University of Hawaii at Hilo,Phyllis,,Ahmadia,1776457,2,average,TEACHER,PROFESSOR,2.5,"[""She is a good teacher, fair and wants you to succeed. She's open to questions and answers them thoroughly. She makes you want to go to class"", ""She's not fair at all""]",[]
4,Ethnic Studies,1105,University of Hawaii at Hilo,Ekekela,,Aiona,986852,2,good,TEACHER,PROFESSOR,4.8,"['', ""Kumu is an excellent, passionate person with a great deal of knowledge and love for the Hawai'ian culture -- the subject she teaches. At first I was a little nervous because of her intensity but once I got used to her I found her to be an honest, able, helpful instructor who is an asset to UHH.""]",[]
5,Ethnic Studies,1105,University of Hawaii at Hilo,Deyson,,Aiona,1768724,2,good,TEACHER,PROFESSOR,5.0,"['Excellent Kumu, must be willing to learn!', ""He's a cool local guy and plans on several fun excursion. Now for those of you who are willing to learn more about the Hawaiian culture with hands-on activities I RECOMMEND HIM! He's approchable and willing to help the students if they don't get the material.""]",[]
6,Accounting,1105,University of Hawaii at Hilo,Claire,,Akau,2192703,7,good,TEACHER,PROFESSOR,5.0,"['AMAZING professor... she is very creative with her teaching. She makes Accounting actually enjoyable, fun, and understandable. You learn a lot and on top of that, she is super caring. Best Accounting professor!', ""Great professor and her classes are all fun learning.  I learn so much from her class and at the same time enjoyed her professionalism and wonderful personality.  I would take all her classes if given the opportunity.  Take any Accounting classes from her for you won't regret it.  She is an absolute inspiration and great role model! She is Awesome!"", 'I really found being in Accounting 201 with Ms. Akau to be memorable and she helped me understand the materials. Another aspect that she gave me was she made me want to actually keep pursuing my Accounting Degree and sticking with my college academics and not to quit.', 'Very nice and caring . Her exam reviews are very helpful !', ""She is an amazing teacher. She helps you remember and understand concepts. She is caring and funny during class. I would take all her classes if I had a choice! Attendance isn't mandatory but it helps if you attend classes."", 'The best Accounting professor !!!', 'Best Accounting 201 teacher EVER!']","['Respected', 'Caring', 'Inspirational', 'Gives good feedback', 'Amazing lectures', 'Respected', 'ACCESSIBLE OUTSIDE CLASS', 'Caring', 'Inspirational', 'Clear grading criteria', 'Hilarious', 'Gives good feedback', 'Respected', 'Caring', 'Respected', 'Inspirational', 'Caring', 'Respected', 'Amazing lectures', 'Caring', 'Gives good feedback', 'Respected', 'Inspirational']"
7,Philosophy,1105,University of Hawaii at Hilo,Ron,,Amundson,99625,14,good,TEACHER,PROFESSOR,4.5,"['i liked his method of teaching. out of all the philosophy professures of the uhh. i belive that he was best at bringing someone out of theyre little shell and be more open in class. maybe not in the classroom, but online was the way how.', 'I found this rating while surfing. I took his Intro Philosophy class in 1988, I still remembered arguing William Palin, ""Here I Stand With My Foot Upon a...."" We argued intelligent design vs. creationism, benevolence, and other great philosophers. Although I was not spiritual at that time, it did challenge me to look at my beleifs, Thank you Ron!!', 'a tremendous professor.  one of the greatest philosophical minds i have encountered in my pursuit for Truth.  i still consider him an influential component to the way i live my life today.', 'He thrives to spread knowledge, an inspiration and thorough.', ""Amundson is one of the only professor that i have taken a course in where they sincerely want the students to fully understand the concepts. You'd be a fool to not take one of his classes.....esp. Belief Knowledge and Truth or Metaphysics"", 'Fan-freakn-tastic!  i think i retained more information from his class than any other class that semester.  Also like to note, that i spent more time writing for his class than any other, but i still love every paper i wrote for him, and at least they were on interesting topics, not random boring crap like in most classes.', 'although its not my major, it was the best class i have taken at UHH.  it really opened my eyes to a lot of things.', 'No Comments', 'No Comments', 'He is a very interesting teacher, and if I was to persue Philosophy any further, I would definately take classes from him again. Just remember to come to class every day becuase he does give pop quizzes', ""Intro to Western Philosophy. Good listener, always wants to hear what students think. You can challenge him and he doesn't get upset. Would take another course from him again."", 'one of the top 2 professors i have ever had.  amundson is an incredible professor who really knows his stuff!', 'No Comments', 'Best Professor ANYWHERE']",[]
8,Mathematics,1105,University of Hawaii at Hilo,Mitchell,,Anderson,132609,38,good,TEACHER,PROFESSOR,4.2,"[""He works for some people, but he just didn't work for me. It turns out I need mandatory homework for a math class in order to do well. I didn't give him the score I gave him because of that though, because he actually was a pretty good teacher. I'm giving him that score because he's pretty condescending and arrogant."", 'Took precalculus over the summer and struggled quite a bit. His teaching style was confusing for me at first, but as I studied my notes after class it started to make a lot more sense. He also gave us a group project which was figuring out the exact location of a ride in a theme park using lots of math. I strongly recommend this professor.', 'Anderson has a unique teaching style. Usually there are a LOT of math professors that would go by the book however, Anderson is able to eliminate all the details and have students see the bigger picture.  There is a LOT of work that you need to do but its not too hard unless you keep on practicing the problems he hands out.', ""MATH140XMATH104  ABSOLUTELY AMAZING PROFESSOR. Kind & caring. Demonstrates passion for what he teaches. Will call you out to answer questions. Very patient. Doesn't believe that students who don't understand are dumb. Really understanding! Go to every class. Makes his own hw& tests. :) Never thought math could be fun till I took this class"", "" You have all the course materials posted online. He doesn't grade homework however, his  exams looks very similar to what he had on his homework problems and practice tests. As for the group project try not to procrastinate get it done as soon as possible. "", 'The teacher is very conceptual and makes you work hard for a good grade. DO NOT buy the book because he creates all of his own homework and group projects. VISIT THE TUTORS because that is the only way to do well in the class. ', ""I'm surprised at how positive these reviews. Anderson is awful. He is condescending to those who do not understand the material.  He has actually laughed at someone who asked a simple question. He does not seem to understand that some people have trouble with math. Most students were only passing because they constantly got help from tutors. "", ""Great teacher! He is definitely more conceptual about topics, and overall gives you a better understanding of math as a whole. I like how he doesn't focus on minute details, but rather giving us a solid foundation of calculus. He creates all of his assignments, tests, and homework. He helps you, so much as you need without feeding you the answers. "", ""Take his Calc II Summer course if you can. He doesn't even make you buy the book. All HW is created by him. Great teacher."", 'His teaching is a little unorthodox but in a good way. Makes you use and think of calculus in a more real and practical way. His two group projects are hard but helpful.', 'Funny', 'Really nice and friendly professor.  Always willing to help.', ""Dr. Anderson is the cool math professor at UH Hilo. He really knows how to teach to the audience, and doesn't bog down calculus with precise theory and notation. Looking back, such rigor may have been useful, but for average joes like me, Anderson got the point across in a low-stress and effective way, and really made me see the beauty of calculus."", ""He teaches really well!  Attendance isn't mandatory but you want to go to class because the material that he goes over, will be the material for the exam."", ""I took this class over the summer expecting it to be incredibly difficult--I'm sure we've all heard horror stories about calc 2. Everything in this class is very easy except for the group projects. There were times when I wanted to throw my computer against the wall, but I got it eventually. If you manage to figure them out, it feels so rewarding."", 'Funny guy, relaxed, not concerned with minute details that most people will not use in life.  Exam reviews are pretty much like the exams.', ""I think Anderson was having a bad semester, because it was the worse class I have ever taken. I  am going to say in Anderson's defense, that it seemed like he had other personal issues this semester that were distracting him. Still, terrible job, unacceptable semester."", 'I took the summer session Calculus II course. It was phenomenal. I LOVED this teacher. If I could take this class again I would. He was extremely helpful and made this hard subject SO easy to understand. I am eternally grateful to him because I fully understand calculus now. TAKE HIS CLASS you will NOT regret it!!!!!', 'Great professor over all. He taught us to do problems conceptually with an open mind, rather than just memorizing mindless facts. He rarely uses the textbook because he makes up his own problems. In fact, he despises the book and the way it teaches the subject. His group projects are tough, but interesting. He has some funny stories too! Take Mitch', ""Hes really nice and funny. Quite a character. His teaching is fun and very helpful. He teaches what you need to know for the real world and doesn't waste time with the boring stuff! I am really going to miss his class!! TAKE IT!""]","[""Skip class? You won't pass."", 'Gives good feedback', 'Participation matters', 'Group projects', 'Lots of homework', 'Participation matters', ""Skip class? You won't pass."", 'GRADED BY FEW THINGS', 'Gives good feedback', 'TEST HEAVY', 'LECTURE HEAVY', 'Gives good feedback', 'Participation matters', ""Skip class? You won't pass.""]"
9,Physics,1105,University of Hawaii at Hilo,Christian,,Anderson,668915,18,good,TEACHER,PROFESSOR,3.8,"['easy teacher', 'Great Teacher.', 'Constantly 15+mins late to lecture for the first two months of semester; failed to schedule substitute lecturer when he was away for week-long conferences; never present/available during office hours, never responded to emails or phone messages.  No syllabus posted or handed out until 3+ months into semester.  We were ripped off!', 'Great teacher, always looked forward to his class even at 8am. funny and very helpful. highly reccomended', 'Great teacher, makes things interesting by creating questionable examples(Magical unicorns, dead cats, Spock and Kirk and terrifying space monkeys). Do the homework, tests are difficult but curved. Ask many questions, he is ridiculously helpful. Recommendation: TAKE HIS CLASS!!!', 'He shocked himself with a capacitor during lab. This guy is awesome sauce.', ""He's a really nice guy and takes the time outside of class to help students with questions."", 'Awesome teacher. He is funny. He is occasionally late for class but starts right away. He defiantly loves physics.', ""He's a really nice guy, but goes way to fast and takes a very long time to hand back tests.  Very helpful if you ask him questions."", 'Helpful and very nice and understanding', 'He is a nice guy, but you really have to stop him if you have questions.', 'No Comments', 'No Comments', 'I have really enjoyed this class so far. Highlight of my day.', 'Better then average.', 'ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZz', 'Boring Falling asleep', 'No Comments']",[]
