,tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating,Comments,Tags
0,History,1084,University of Charleston,Sarah,,Adams,148559,28,average,TEACHER,PROFESSOR,2.6,"['lectures are not long... BUT THEY ARE BORING. they feel like they are 5 hours long instead of an hour and 15 minutes. gets off topic a lot too so its hard to write notes. just go to class and pay attention and youll pass. also, if you ask a question and she thinks its dumb she will freak out. ', ""Lectures are long but the tests are based entirely off of the lecture if you go to class and take good notes you will be fine. She is extremely knowledgeabl, some people think she comes across rude, i have had 6 classes from her and after teaching for 40 years she knows he wants to be there to learn and who doesn't care and that' how she treats you"", 'Dr Adams is one of the nicest and best professors I had at Uc.  I took both her world cultures 1 & 2.  Her class is all lecture.  Listen to her take good notes and you are honing to pass.  Her tests are based directly on her lecture.   Nothing is hidden or not covered.   SHE will NOT tolerate disrespect.  Go to class pay attention.', 'Very knowledgeable, mostly straightforward class. The entire course is lectures and tests taken from the notes from the lectures. Book is unnecessary because all tests are taken from notes. Not a ""fun"" class, but attendance is necessary to understand tests. Overall good teacher.', 'I really enjoyed having her as a professor, she gives fair tests of which if you payed attention the entire time in class you will do fine. she does go off topic a lot but be thankful of that for it is unnecessary and shortens what you actually have to learn.', 'As long as you come to class and pay attention to the lectures, you will do fine in her class.', ""Straight lecture.  Boring.  If you miss a class, definitely get notes from someone else or you'll be extremely behind."", 'This professor is not very nice or helpful.  She does not care about her students and she is very rude.', ""Outright nasty at times. I thought professors weren't supposed to lecture at UC. She talks for three hours!"", 'As long as you take notes and listen to what she says, you will do fine on the exams. Plus you get extra points just for showing up for the exams.', 'Good Class', ""Dr. Adams expects a lot, but she is also very fair. She finds various ways of giving extra points, like if you attend an event on campus. She does expect you to do your work, but I don't mind that - it is what I am paying for. Some professors here are all wind and you can tell that their degree was from some Mickey Mouse school."", 'No Comments', 'No Comments', 'No Comments', 'No Comments', 'terrible', ""Everyone at UC basically has to take this woman because she is the only one that teaches World Cultures and its a basic requirement for all majors.  She knows a lot, she really does.  I'm not so sure she still has the passion for teaching, but she's really old school in her methods.  She's tough!"", ""She knows alot about what she teaches, but all you get to do in that class is take notes. If you don't want to take notes constantly, then don't take one of her classes."", 'Lots of Lecture....Only 4 grades during the whole semester...']","[""Skip class? You won't pass."", 'Get ready to read', 'EXTRA CREDIT', 'Tests? Not many', 'Lecture heavy']"
1,History,1084,University of Charleston,John,,Adkins,989206,1,good,TEACHER,PROFESSOR,5.0,['This guy is a hottie!'],[]
2,English,1084,University of Charleston,Arnold,,Adler,2482789,0,zero,TEACHER,PROFESSOR,N/A,[],[]
3,Business,1084,University of Charleston,Armando,,Alcazar,689127,16,poor,TEACHER,PROFESSOR,2.5,"[""Prof. Alcazar's teaching style is unique, but he brings a lot of real world experience to the table.  If you don't participate you won't pass, and he'll let everyone know.  He pushes you to think and learn."", 'Hard class and the exact material is not what to focus on, it is the conceptual material he is teaching that is what is important and will be used in everyday business life', ""Definitely Take Armando. Business Policy with him is challenging however it is on everyone. He'll only single you out if you don't give an interest in the class. If you don't pay attention he'll stay on your ass, and then he's HILARIOUS to listen to."", ""I love that guy, I don't care what anyone says. He's a genius."", 'Good Grief, get some better teachers here at this over priced institution!  Yesteryear has come and gone.  Get someone to relate to student needs and that can actually teach!!!  POOR!!!', 'I will not say that this prof is the worst that I have ever had but I will say that the grading is not fair!  I was given a B while another student rec. an A.  The funny thing about that is, we had the same test because his/hers was copied from mine.  When I emailed him about my grade he never gave me a response.', 'Worst proff ever had.  Bring in new, qualified blood that students can relate eto and wnat to have and learn from. I had a proff at a Coom college in Boone that blew these business wannabes out the water.  Terrible style abd test are just made up too hard for no reason other than to appear smart.', 'This guy is a piece of work.  Worst teacher I have had.  He is extremely disrespectful to students and does not keep good attendance records yet grades on attendance.  He gave me a low grade because he said I missed 4 classes which was simply not true.  When I asked him about it he was too rude and thick headed to listen or care.  Steer clear!!!!!!', 'He is underqualified...tells ancient stories of how he was a powerful business type...3 decades ago.  He doesn\'t know basic finance and does a great job acting..when in doubt or he is caught not knowing something, he\'ll say ""spit on the book""...yeah, that makes sense since he doesn\'t have a Ph.D.', 'This guy sucks, what an attitude!  Disrespectful to students!', 'He thinks he is all that..he is a has been.  Lacks undertsnading so he covers up by disregaridng the book and author...I ""spit on that.""  Doesn\'t know theory or finance...he tells a lot of war stories...if he did so well, why does he live in a $70,000 house and why can\'t he afford to pay his OWN way on the MBA trips...he skims off the group!', 'Anecdotal teaching, largely disregards info in textbook', 'Not good or clear at all.', 'An excellent Prof. and very helpful in class.  I love his method of teaching and how he relates everything to life experiences!', 'great!', 'No Comments']","['Tough grader', 'Participation matters', 'Amazing lectures', 'Tough Grader', 'Participation matters', 'Amazing lectures']"
4,Biology,1084,University of Charleston,Heather,,Arnett,2344163,2,average,TEACHER,PROFESSOR,3.0,"['Shes a hard grader!', 'Dr. Arnett is very enthusiastic about biology and I personally learned a lot through her teaching. If you pay attention to the lecture and take good notes, you will do well. She offers a decent amount of extra credit and is nice to you, if you are nice to her. I enjoyed the class, material, and her quirky attitude.']","['Tough grader', ""Skip class? You won't pass."", 'EXTRA CREDIT', 'Group projects', 'Lecture heavy', 'Group projects', 'Lecture heavy', 'Tough grader', ""Skip class? You won't pass."", 'ACCESSIBLE OUTSIDE CLASS', 'EXTRA CREDIT']"
5,Communication,1084,University of Charleston,Staci,,Ballard,1631127,2,good,TEACHER,PROFESSOR,5.0,"['Professor Ballard is a wonderful professor and  positive attribute at the University of Charleston.', 'Professor Staci Ballard is fun, kind, humor and engaging. She is one of the best profs I have ever had, and doubt I will ever have another like her.']",[]
6,Mathematics,1084,University of Charleston,Edward,,Balthazar,723941,3,good,TEACHER,PROFESSOR,4.8,"['He is great teacher. very Helpful', 'a good instructor, very helpful - come anytime and he will explain until you get it.', 'No Comments']",[]
7,Biology,1084,University of Charleston,Debbie,,Banister,1567120,3,good,TEACHER,PROFESSOR,3.7,"['Literally one of the most judgmental professors on the campus.  Holds grudges against students and if you are not on her ""good side"" you can forget decent grades, a recommendation, or even fair treatment.', 'Great professor.  Give precise instructions for lectures.   Only problem is she lets her liberal political views influence the class.  Had nothing to do with speech writing.', ""Her classes really are worth attending. She's really nice and not that strict, but expects your respect.""]",[]
8,Business,1084,University of Charleston,John,,Barnette,2049681,0,zero,TEACHER,PROFESSOR,N/A,[],[]
9,Science,1084,University of Charleston,Esther,,Batta,2242193,0,zero,TEACHER,PROFESSOR,N/A,[],[]
10,Psychology,1084,University of Charleston,Michael,,Bayly,229556,17,good,TEACHER,PROFESSOR,3.7,"[""He's very intelligent and was always there to help me. His classes are always tough but you will learn."", ""I had him for two classes in the same semester. His lectures were incredible; I learned more in those classes than I have in any others. He's very thorough, stays up-to-date & provides excellent examples. The workload is heavy but never useless. I recommend Dr. Bayly to anyone who truly wants to learn, not just earn a credit. I miss having him."", 'Had him for multiple classes, since there are only a couple psych teachers at UC. His classeslectures are informative and engaging, but getting a decent grade is practically impossible. His tests could confuse an Ivy League MDPhd psychiatrist. The amount of work he expects you to put into the homework should make it eligible as a senior thesis. ', ""Didn't like him at first, he has a nervous cough which really annoyed me, but it goes away. I used my textbook and the workbook ALOT so get them both.  You'll learn a lot and he'll help you out if you pay attention."", 'very rude', 'YEAH', ""I had him for 6-7 classes a few years ago. I really enjoyed his classes. He does a great job of explaining everything and treated me great. He gets angry a lot though and no one never really knows why. His tests are hard but if you've had him before you know what to expect. All-in-all, the best undergrad professor I had. Great guy."", 'No Comments', 'He is just a really cool teacher', 'Thinks he is above all of his students.  Cursed during the course which I found to be un professional.  Test were really hard and he did not give us much to go on as to what would be on the test.  Homework was not returned most of the time and when it was, it was graded, but no markings as to why it was graded the way it was.', 'No Comments', 'Any Bayly class is ridiculous.he could make wiping your butt 101 a difficult class.', 'Senior Ethics!  Very Hard class.  There are several easier professors that teach the class, but even though this class was difficult, I had fun and learned a lot.  Bayly is tough but very strict.  I recommend taking him for this class.', ""he is a really cool professor.  I loved his class. it was hard but he really gets into it.  he's awesome.  I recomend his classes to everyone but be ready to work.  he's really hard too. but he's nice to look at."", 'Knows his stuff but is a big nerd and expects students to eat, breathe and sleep the stuff like he does.', 'This was a very fun and interesting class.  But, it is very difficult.  Dr. Bayly is a great instructor!  He is very knowledgable of his subject matter and only accepts his students best efforts.', 'This is an interesting course, but you have to study and attend class.Beware, he has a short fuse and goes off easily.  Ex:Because of low scores on our first exam, he yelled for over 15 minutes and told us monkeys could do better']","[""Skip class? You won't pass."", 'Tough grader', 'Get ready to read', 'Tests are tough', 'Amazing lectures']"
11,Health Science,1084,University of Charleston,Kate,,Bennett,2620902,0,zero,TEACHER,PROFESSOR,N/A,[],[]
12,Education,1084,University of Charleston,Jo,,Blackwood,148541,7,average,TEACHER,PROFESSOR,3.3,"['Unclear instructions. Due dates are always a mystery. The quizzes were invalid and not reliable.', 'Dr. Blackwood really knows the materials, but she gives you way too much work, and alot of it seems pointless. She is way too excited over everything, and puts too much emphasis on some aspects of the work assigned.', ""Gives students busy work. Assignments are large, constant, and usually doesn't pertain to class you're in."", 'Great concept of the classes and always willing to help.', 'Great professor! Gives great constructive criticism and praise when deserved.  She makes an effort to get to know each student individually and is generally a personable person.  Very friendly.', 'Dr. Blackwood is a very nice and genuine professor and really knows what she is doing.  Although I transferred, she was still very supportive and helpful to me.', 'The worst teacher I ever had.']",[]
13,Management,1084,University of Charleston,John,Paul,Blankenship,2556898,0,zero,TEACHER,PROFESSOR,N/A,[],[]
14,Communication,1084,University of Charleston,Leane,,Borden,2609675,2,poor,TEACHER,PROFESSOR,1.5,"['Refuses to give full credit because there is always room for improvement. When asked to clarify how I didn\'t meet the criteria for assignments, her response was ""My standards are high because I understand that I am participating in grooming our future leaders, and I desire to help them work to be the best of their abilities.""', 'Grading is tough']","['Tough grader', 'Get ready to read', 'Participation matters', 'Participation matters', 'Tough grader', 'Get ready to read', 'Tough grader']"
15,Health Science,1084,University of Charleston,Sandra,,Bowles,686118,6,good,TEACHER,PROFESSOR,4.1,"['You have to really study for her class this is a tough class', 'Amazing lady! READ THE CHAPTERS!!! KNOW THE SLIDES!!! Tests are extremely hard but you will pass if you read, read, and READ!!', ""Awesome professor.  She should be the dean again or the chair. Best professor and she does not play politics either you do the work or you will fail.  If you don't pass her class it's your own fault"", ""Good instructor.  Cares about student's success.  Course good foundation for nursing classes. Tests are tough."", 'Tough but you learn', ""She's a nice lady, but acts unprofessional at times. She can also be really mean, but the class is definately a cake walk.""]","['Tough grader', 'Get ready to read', 'Participation matters']"
16,Business,1084,University of Charleston,Anne,,Brackley,1567092,2,poor,TEACHER,PROFESSOR,2.2,"['Professor Brackley structured the class in a fluid manner, but stuck to the syllabus that was provided.  I enjoyed the group work that was done.  The reading that was assigned was difficult, but she listened to the class and the emphasis on the reading was deflected onto other material. ', 'The worst teacher ever needs to teach highschool']","['Participation matters', 'Would take again', 'Gives good feedback']"
17,Design,1084,University of Charleston,Tracy,,Bradley,1567106,2,good,TEACHER,PROFESSOR,3.5,"['She is very sweet and cares about her students. She is a tough grader, but only to make us better.', 'This professor really needs to not grade so harshly and consider all the options and not be bias base on student participation. Because at some times teaching performance can be very confusing at times and get other class work that clashes with the course curriculum.']","['Tough grader', 'Inspirational', 'Respected']"
18,Business,1084,University of Charleston,Mordecai,,Brownlee,2586737,0,zero,TEACHER,PROFESSOR,N/A,[],[]
19,Business,1084,University of Charleston,Nicole,,Byrum,2359465,0,zero,TEACHER,PROFESSOR,N/A,[],[]
20,Humanities,1084,University of Charleston,Elizabeth,,Campbell,806891,0,zero,TEACHER,PROFESSOR,N/A,[],[]
21,Nursing,1084,University of Charleston,Linda,,Carl,2028435,2,poor,TEACHER,PROFESSOR,1.3,"['Sticks by firm deadlines. For an online class designed for the adult learner to be able to work full time, this is a joke. I had her for several classes and the workload is ridiculous. Constant posts, replies, and replies to replies. Tests from 12 chapters at once. Will never reccomend!', ""Contradicts syllabus. Unclear assignments. No reference to texts. Unrealistic posting criteria, ex. Don't post on first or last day of week, don't post twice in one day or on consecutive days. Difficult for working adult learners. Focuses on informatics rather than class subject. Condescending to students who posts questions.  Avoid at all cost.""]","['Tough grader', 'Participation matters', 'Graded by few things', 'Participation matters', 'Graded by few things', 'Tough grader']"
