,tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating,Comments,Tags
0,Business,4375,Regent University,Clemment,,Abrams,1585949,5,poor,TEACHER,PROFESSOR,2.3,"[""Nothing wrong with Dr. Abrams.  He didn't blow me away, but he is certainly good at what he does.  I took Business Law from him.  This was a challenging class, but it was not overly difficult.  If you work fairly hard, you should be able to get an A or B."", 'Prof Abrams took an interest in the students and took the time to get to know us as much as he could. He taught business law and he is a lawyer so he definitely knew the material and how to apply it to real life. I liked this class.', ""I took this as an 8 week  online course, the professor never communicated with students or reminded us of deadlines. Took a very long time to grade assignments and didn't offer feedback on what to improve, didn't return emails or phone calls. He was useless. Avoid him if you can!"", 'Very, very, poor communication skills. Very slow about posting grades. Does not appear to be a concerned professor at all.', 'He does not communicate well, it takes him weeks to post grades, and is not approachable.  Overall you have been warned!']","['Get ready to read', 'Participation matters', 'Clear grading criteria']"
1,Law,4375,Regent University,Clement,O,Abrams,2286648,1,good,TEACHER,PROFESSOR,5.0,"[""Had him for business law. Not much feedback and falls 2 or 3 weeks behind on grading, but is an easy grader. As long as your formatting is on point and you sound like you know what you're taking about, you'll do fine. Make sure you read the textbook so you know the terminology.""]",[]
2,Nursing,4375,Regent University,Catherine,,Abramson,2244740,1,good,TEACHER,PROFESSOR,5.0,['Informative lectures and awesome professor. Would definitely recommend!'],"['Amazing lectures', 'Inspirational', 'Respected', 'Respected', 'Inspirational', 'Amazing lectures']"
3,General Education,4375,Regent University,Mark,,Ackerman,2158472,7,good,TEACHER,PROFESSOR,4.4,"[""Professor Ackerman is a genuine and helpful professor. I don't recommend taking him in the morning for a Bible class because he was often very monotone during lectures and would be difficult to focus. However, Ackerman is very helpful if you have questions afterward or need help with your assignments. He's very easy to talk to."", ""Professor Ackerman is a genuine and helpful professor. I don't recommend taking him in the morning for a Bible class because he was often very monotone during lectures and would be difficult to focus. However, Ackerman is very helpful if you have questions afterward or need help with your assignments. He's very easy to talk to."", 'Decent prof. Not great, not bad.', ""Professor Ackerman is great! He is hilarious, knowledgable, and passionate about the subject. He responds to emails the same day (with the exception of Sunday), clear grading criteria, and always willing to help as long as you're willing to put in the work. In a hybrid class, group assignments were a part of class each week. Highly recommend!"", 'Ackerman is a funny professor, and his lectures are pretty interesting. He does tend to go through the slides quite fast, but his quizzes are easy and he always sends the powerpoints over email. He is always open to questions and student comments.   He is definitely a professor I would recommend!', 'He is a great teacher he cares about all of his students and allows us to have a good discussion.  He is an easy grader and gives very good feedback on the papers.', 'He was a fair grader and was very helpful during the class. He was flexible when personal stuff came up in my life.', 'Great teacher, focuses on discussing and developing your opinion.  Easy to talk to and always helpful.  Good combination of lecture and dialogue.']","['Gives good feedback', 'Caring', 'Participation matters', 'Hilarious', 'Accessible outside class', 'Gives good feedback', 'Get ready to read', 'Lecture heavy', 'Gives good feedback', 'ACCESSIBLE OUTSIDE CLASS', 'Caring', 'ACCESSIBLE OUTSIDE CLASS', 'Clear grading criteria', 'Hilarious', 'Gives good feedback', 'Hilarious', 'Caring', 'Participation matters', 'Caring', 'Gives good feedback', 'Gives good feedback', 'Participation matters', 'Inspirational']"
4,Social Science,4375,Regent University,Elijah,,Agyapong,2189129,6,good,TEACHER,PROFESSOR,4.2,"['Dr. Agyapong is an amazing professor whose concern for his students reaches beyond the course content. He is genuinely concerned with your overall success as an individual which is evident in his approach to teaching. He explains difficult concepts with visual representation and engages students with questions and answers. Challenging but possible.', 'Dr. Agyapong is an amazing professor whose concern for his students reaches beyond the course content. He is genuinely concerned with your overall success as an individual which is evident in his approach to teaching. He explains difficult concepts with visual representation and engages students with questions and answers. Challenging but possible.', ""I would recommend doing the practice problems in the textbooks. He allows you to make a cheat sheet - 8x11, as much information as you can cram onto it - for each exam. If you get work done on your project early, it's worth it to send it to him for his feedback before the deadline. He cares deeply about his students' success."", ""Dr. Agyapong leads a very difficult class, but he wants you to succeed. He is more than willing to spend extra time one on one to make sure you understand. He provides great examples to follow. He has a heavy accent, but don't be worried. Make sure you attend all of his lectures so you get used to it. You can get an A in this class."", 'He is an asset to any serious institution of higher learning. An outstanding professor that commands his discipline well with scholarly fortitude. He has depth and breadth with the subjects he teaches. He was successful in leading me to achieve a level of understanding of research methods as a graduate student. Take his classes and grow!', 'Choose another prof for GOV 603 course. I, along with other students, dropped the course. The concepts were difficult for me to grasp. Instructions and expectations were not clear. I was not following the course although I made efforts to stay on track. He expects too much and his lessons and grading styles are complex.', 'Ok professor.  Not sure he ""gets it"" from a practical perspective.']","['Gives good feedback', 'Accessible outside class', 'Participation matters', 'Inspirational', 'Lecture heavy', 'Accessible outside class', 'Inspirational', 'Caring', 'Gives good feedback', 'Accessible outside class', 'Participation matters', 'Accessible outside class', 'Lecture heavy', 'EXTRA CREDIT', 'Gives good feedback', 'Respected', 'Inspirational', 'LOTS OF HOMEWORK', 'TEST HEAVY', 'LECTURE HEAVY', 'Gives good feedback', 'Get ready to read', 'Participation matters']"
5,History Philosophy Religion,4375,Regent University,Kimberly,E.,Alexander,2177261,1,average,TEACHER,PROFESSOR,3.0,"[""You won't get an A in her class without working pretty hard for it:)""]","['Tough grader', 'Get ready to read', 'Respected', 'Tough Grader', 'Respected', 'Get ready to read']"
6,Ethnic Studies,4375,Regent University,Mekonnen,,Aleyemayehu,2669592,0,zero,TEACHER,PROFESSOR,N/A,[],[]
7,Computer Science,4375,Regent University,Keith,J,Alston,1787964,4,average,TEACHER,PROFESSOR,3.0,"['Very poor professor, in all key areas,  When you need help you have to wait 3-4 days  if at all,  When he does answer you its with total disdain like why are you bothering me?  This Guy needs to be reprimanded and fired.  I will be taking this matter up with the school', 'Maybe he is a different person in class, than online, but I received absolutely no help throughout the course, (after emailing him directly), 6-8 assignments were never graded, and received a very poor grade at the end of the course. I will be going to the school about this. Would not take any of his classes again.', 'Excellent professor, and he is very helpful if you need any assistance.  He has literally spent hours with students helping them with their programs.', 'Great professor, fun to have in class and interact with. Will accept late assignments with penalties, if you are having trouble with one he will accept it late and help you! Would take him again if I get the chance.']",[]
8,History,4375,Regent University,Lilian,,Anand,2467775,0,zero,TEACHER,PROFESSOR,N/A,[],[]
9,Religion,4375,Regent University,Jeffery,,Anderson,2502997,1,poor,TEACHER,PROFESSOR,2.0,"['A theology professor that is not very well versed in theology. This professor is very dense and has difficulty understanding concepts, he has a very mechanical knowledge which leads to frustration and communication difficulties. In my 70+ hours of graduate level study in theology, this professor is the least talented I have ever had.']",[]
