,tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating,Comments,Tags
0,Education,753,Palm Beach Atlantic University,Deborah,,Abdo,680431,0,zero,TEACHER,PROFESSOR,N/A,[],[]
1,Not Specified,753,Palm Beach Atlantic University,Kevin,,Abel,791240,2,good,TEACHER,PROFESSOR,4.5,"['Great guy. Was very helpful in leading me my first semester at school. Gives good grades and is chill and approachable.', 'hes really nice and for some reason he gave me an a in fye. i never did anything and skipped like 3 papers and still got an a! i think he just assigns the reflection papers to say he assigned something!  you have no choice in who is your fye teacher but if you get him... your good to go!!!']",[]
2,Religion,753,Palm Beach Atlantic University,Keith,,Albert,1897852,1,average,TEACHER,PROFESSOR,2.5,"['I would definitely stay away from this professor. He makes this class ridiculously much harder than it needs to be. All of his tests are short answer, and he does nothing to prepare you for the metanarrative exam (required for all exploring the bible classes) at the end. He basically stands in front of the class and preaches to the class. AVOID HIM']",[]
3,Religion,753,Palm Beach Atlantic University,Velmarie,,Albertini,915481,5,average,TEACHER,PROFESSOR,3.4,"['Excellent', 'Great teacher..learned a lot', ""I don't know how this lady sleeps at night. I went to ask for help and she told me my writing was useless and I should drop the class. absolutely useless, just to reiterate steer clear friends. not impressed at all"", 'No Comments', 'She is one of the best teachers at PBAU by FAR!! Take her!!!!']",[]
4,Chemistry,753,Palm Beach Atlantic University,Mireille,,Aleman,1412945,16,average,TEACHER,PROFESSOR,3.1,"['She is tough but she is smart. Was scared of her as a teacher because she would make you work for your grade. I think she thought I was dumb in class, but outside she seemed to love me lol. Suffered through her lab classes but learned more from her than I did from Lobdell. Sad that she left PBA.', 'This woman could teach anything her heart sets out to teach. I know she may come off as ""tough"" sometimes, but it\'s all for the sake of good, quality learning. I had her for Orgo 1 AND 2. Labs included. She is one of the best instructors I have ever had, if not the best. Get ready to work!!', 'Amazing teacher, sometimes hard to keep up with but will go back and explain for you. Tests are tough, you really have to study!! Gives extra credit. Very sweet teacher, would take again in a heartbeat!!', 'This is who you want for Organic Chemistry. Had her for Organic 2 and she is a quality teacher. The best one on campus!  Wish I had taken her for Organic 1 also. I love that she repeats past concepts in her teaching, you will leave knowing the material. You just have to focus on this class and do your part in studying. She is awesome! ', 'Well lets just say I have had three really bad teachers in my life and she is one of them! I had Dr. Aleman for lecture.  She is very tough and does not teach well! Test are hard and she gives nothing of a review or anything! She excepts you to take a 9 to 10 chapter test and know everything in each chapters! ', 'Students beware, worst professor ever! Expects you to know material before coming to class (this is chemistry, you cannot learn by yourself),  rude & demeaning if you ask questions, requires concept charts. Very confusing! Class exam averages  F. Take with another professor or somewhere else if you want to actually learn something and pass!', 'I read all the good reviews on her. I don\'t know what happened to her when I got into her class. She\'s a smart lady, knows her stuff but she teaches as if we all came in with a doctorates in chemistry. It seems as if she gives pop quizzes to ""trick"" her students. Has very few office hours and is not much help when you go for help. Just don\'t.', 'This was the first time I took Chemistry since High School. With very little knowledge going in I found her teaching style to be demanding and very difficult to follow. She loves to pass sections saying ""You just have to know this"" without any further help. She loves to pass you off to a student intern if you need further help. Failed her class...', 'Dr. Aleman runs her classroom very strictly and can come off as intense and overwhelming, especially in a difficult subject that students do not have previous knowledge on. She makes demoralizing comments to students, disrespects, criticizes, and belittles. The workload is quite large for a one credit lab class. ', 'Not clear on assignments. syllabus due dates were all wrong. Maybe it way more difficult than it should be. I have changed majors due to the science teachers at this school, they focus on Jesus more than teaching science.', ""Nice person, but not a great professor for the beginner Chem student. She teaches as if you have prior knowledge of the course. If you do that's great but if not please take another professor. PBA doesn't offer a large picking pool of them. She knows her stuff just not how to teach it. The class is fast paced which doe't help either. Very nice tho."", 'Good teacher. Lab reports require. Need to be able to explain what you are doing and what you did wrong. Not graded on perfection, instead graded on your knowledge and understanding. Very helpful and willing to be there for her students.', ""Dr.Aleman is an awesome teacher! Very helpful and really knows  what she is talking about. She is very loud and will keep you awake!I have her for lab, lecture, and recitation and I feel like I am really learning the subject unlike other classes I've taken. Studying is a MUST if you read the slides and pay attention you'll be golden!"", 'AMAZING teacher. She is nice and understands what she is teaching.', ""Definitely learned a lot in the class (Principles of Chemistry, Lecture). Most people thought she taught too fast. But she kinda had to because it is simply a fast paced class. It is a survey of six semesters of chemistry classes therefore it seems hard. Rarely used the book. Print off the slides ahead of time and read over them so you're prepared!"", ""I can't believe she hasn't been rated! I had/still have her for chem lab. She likes to scare you away from chem. Alot of prepping for her labs. Haven't had her for lecture but I hear she really makes you learn chem which is good. Will really help you during office hours. really hard but good quality prof!""]","['Tough grader', 'Get ready to read', ""Skip class? You won't pass."", 'Tests are tough', 'Amazing lectures', 'Respected', 'Get ready to read', 'Tough grader']"
5,Accounting,753,Palm Beach Atlantic University,Daniel,I.,Alvarado,2043794,2,average,TEACHER,PROFESSOR,2.8,"[""Alvarado is in his own world. Classes require max effort to stay awake. The silver lining is that as long as you check in occasionally, you will be able to get an A or B. Very nice guy, and knows his material, just can't communicate it to save his sorry life. Smokin' hot though."", ""He's a great professor, incredibly helpful. I've taken him for Cost acct, Tax 1 & 2, and I've always passed with a high grade. It's no picnic, and there are a lot of papers, but he's not a tough grader and tests are only on what he has taught (tax exams are really hard, but are take home with groups). All in all, I would definitely recommend him.""]","['Tough grader', 'Lots of homework', 'So many papers', 'Lecture heavy']"
6,English,753,Palm Beach Atlantic University,Kathleen,,Anderson,140099,40,good,TEACHER,PROFESSOR,4.0,"['The workload is heavy!! She gives a lot of writing assignments and is a tough grader.', ""Dr. Anderson is by far the toughest teacher I've ever had. She expects graduate level work and marks you down for every tiny mistake and anything that could have been better. She's kinda kooky and very entertaining. She cares about her students and is a literal GENIUS. Also, MEET WITH HER BEFORE EVERY PAPER! She's the best :)))"", 'Only a few papers but but lots of opportunity to lean from past assignments and grow as a writer.', 'Dr. Anderson, is amazing, but get ready to work. She expects your work to be meticulously perfect, but if you listen to what she says, follow her instructions, and put in the work, you will grow incredibly, both as a person and a writer. She holds herself to this same level of perfection, takes time to befriend you, and offers incredible feedback.', 'she is awesome! i learned a lot from her class. it was difficult at times but overall, its possible to get an ""A"" if you work hard enough. she is very caring and down to earth. she is great at her job and really wants her students to learn something while also showing them respect. :)', ""If you're looking for an easy class this is not the one for you. She expects a lot of reading and work outside of class and has quizzes on all of your reading. She assigns a lot of very long and very hard papers which she grades extremely hard. And if your not a fan of romance books like Wuthering Heights or Northanger Abby do not take this class."", 'I took her several times she is amazing and she helped me with other English-y things outside of class (grad school applications and publications). She is hard. But the kind of hard that means you actually learned something and your education means something.', ""If you don't like reading the do not take her. She expects you to read up to 50 pages between classes. There is a quiz on the reading every day. The class is all discussion and you have to learn a lot on your own."", ""Dr. Anderson is a very tough grader. She's clear about what she wants, but she expects near perfection by the end of the semester. Her strictness challenged me to improve, but at times it was frustrating. She can help you out a lot if you ask her to, but she's a stickler for formatting. Interesting but challenging class."", ""She really loves English and literature and her love comes out through her teaching. But if you are just taking a comp class I would highly advise not to take her. She expects honors level work for a gen ed class. While she is funny, if you're looking for an easy comp class DO NOT TAKE THIS CLASS!"", ""I took Anderson for HUM 3. Class was a little demanding, but for the most part it was okay. If you don't do your work you will SUFFER in her class! Read J. Austen a lot, which I hated, and joked with her about it. She's a great prof and Academic Advisor. PBA 4EVER!"", ""Dr Anderson is probably the best professor at PBA. She's kind of difficult but always willing to help no matter what. She's really funny, too. I absolutely loved her."", ""Her class was engaging and sparked my interest in literature. Although I haven't shifted to a English major, her literary research papers challenged me like never before. She teaches at a harvard level with a great deal of humanity."", 'Extremely demanding but seems to be a good professor if you can put in the time for her class. I ended up withdrawing after finding out she wanted me to write 2 very long a hard research papers in a month.', ""Dr. Anderson is my favorite professor at PBA, hands down. She is one of the most talented literary critics I have ever seen, and she's very quick on her academic feet. I recommend her for anything she's teaching."", 'She was good, but really hard. The finaly paper in the com2 class was a 15-20 page essay with 10-15 sources. she loves pride and prejudice.', 'Gives alot of reading homework everynight, and test are very long, with a take home two page typed essay with every test. Alot of work but very good teacher. Also must give presentation as well', 'Great teacher.  Seems strict in the beginning but makes class go pretty fast.  She is very understanding and knows how to teach.  I definitely recommend her!', ""She is very knowledgeable. I know no one really likes Humanities classes but she really makes the class fun and interesting. You have like 5 question quiz's at the beginning of every class that are simple if you do the homework. You have homework but it's not difficult."", 'She is an amazing professor!']","['Get ready to read', 'Tough grader', 'Gives good feedback', 'Respected', 'Participation matters', 'Get ready to read', 'So many papers', 'Tough grader', 'Tough Grader', 'Get ready to read', ""Skip class? You won't pass."", 'Get ready to read', 'Participation matters', 'Gives good feedback', 'Tough Grader', 'Gives good feedback', 'Respected', 'Gives good feedback', 'Respected', ""Skip class? You won't pass."", 'Tough Grader', 'Get ready to read', 'SO MANY PAPERS', 'Respected', 'Get ready to read', 'Caring', 'Get ready to read', 'Participation matters']"
7,Nursing,753,Palm Beach Atlantic University,Briana,,Andrassy,2480429,1,average,TEACHER,PROFESSOR,3.0,"['DR. Andrassy is very kind and very sweet she will give you great advice and help you in the clinical setting. However, she is a big time stickler who goes 100% by the book. very tough grader and will take off points off your final grade for being late of missing class. she took 8 points of my final grade because I arrive 2-5 minutes late twice.']","['Tough grader', ""Skip class? You won't pass."", 'Caring', ""Skip class? You won't pass."", 'Caring', 'Tough grader']"
8,Computer Science,753,Palm Beach Atlantic University,Julie,,Aramouni,2070987,4,good,TEACHER,PROFESSOR,3.9,"[""Dr Aramoni is great. She takes time to make sure everyone understands stuff and is good at simplifying tough concepts. I'm a computer science major and I found the class to be easy. Some non CS majors say it's more challenging, but I think if you read the book for the first few weeks in order to get familiarized, it'll be fine. She gives projects."", ""Dr Aramoni is great. She takes time to make sure everyone understands stuff and is good at simplifying tough concepts. I'm a computer science major and I found the class to be easy. Some non CS majors say it's more challenging, but I think if you read the book for the first few weeks in order to get familiarized, it'll be fine. She gives projects."", ""This was my first Programming class, and I really enjoyed it. Professor Aramouni gave a lot of projects 30+ However, she went over most of the projects in class. Also, if you don't have prior knowledge to logic, I see how it is a bit hard to follow, but if you have a math background, this class is a breeze. ASK QUESTIONS and PARTICIPATE, fun class!"", ""When I first started the semester, I had no idea what I was doing, but towards the end, I felt like I was getting better and better. You have to give it your all. Spent a lot of time programming throughout the semester. Professor Julie answered all my questions always and wouldn't leave the class without making sure no one had any questions."", ""Very nice woman. I have no doubt that she knows what she is doing, but she just can't relay her knowledge to the class. Lectures are very quick and difficult to follow. No in-depth explanation of material. ""]","['Lots of homework', 'EXTRA CREDIT', 'Group projects', 'Participation matters', 'Would take again', 'Group projects', 'Caring']"
9,Humanities,753,Palm Beach Atlantic University,David,,Athey,373479,28,good,TEACHER,PROFESSOR,4.7,"['He is very funny and its an easy class to pass. He only had us write two essays one was really long though. Just stay on top of the work and do good in the HW grades and you can get an A. He requires the textbooks Bc it counts for 10% of your class grade doing book checks he sometimes brought snacks and always let class out early! Cool guy', 'Honestly would NOT recommend him. Cool guy but hes so specific about his grading style. Its nothing what you learn in HS or even Comp 1. I just find it really hard to listen to him. His style is very out dated. He doesnt use anything online/ canvas so you dont know your grade.', 'He is very funny and its an easy class to pass. He only had us write two essays one was really long though. Just stay on top of the work and do good in the HW grades and you can get an A. He requires the textbooks Bc it counts for 10% of your class grade doing book checks he sometimes brought snacks and always let class out early! Cool guy', 'Don\'t take him if you\'re into traditional teachers who don\'t ""pterodactyl"" you. But he\'s absolutely hilarious and fun. Also, depending on the class, he\'ll let you out early half the time and bring snacks! I learned a lot without overloading on homework. Highly recommend!', 'Wonderful Professor who wants you to succeed, but make sure you put effort into your submitted work.', 'Hands down best teacher I ever had. Pours his soul into the classroom and gives students kind and helpful insight into the world of creative writing. He will inspire, and give you tips to becoming a stronger writer. PBA is lucky to have such an amazing professor. Take him!', ""I love this guy! Professor Athey was one of the best professors I've ever had. I had him for English Comp 2, which was a class that I wasn't looking forward to. However, he totally turned it around for me! He is  ridiculously funny, extremely intelligent, and is willing to help you out as long as you put in effort. i highly recommend!"", ""Master Athey is one of the best professors I've ever had.  He's funny, fun, and he really helps students to stretch their writing abilities.  I've only taken one class with him and can already see marked improvement in my writing; I'm even brave enough to try to get published.  Any student, regardless of major, would benefit from this class."", ""Hard class is hard but he's a nice teacher"", 'I took Creative Writing for Publication and Professor Athey was a valuable teacher to have. I learned so much, and he has real world experience in publication, so very helpful. A lot of fresh writing assignments due, so stay on top of things! But very helpful, fantastic, funny and great class.', ""Athey is perhaps the BEST professor at PBA. Hysterical, intelligent, and he always offers constructive criticism and feedback on Creative Writing assignments. I'll miss him!"", 'Professor Athey is a nice man who always makes class fun. He has a good sense of humor and is pretty fair.', 'Absolutely the best teacher ever! You want to take him! I had him for composition and for humanities and he is the most easy and fun teacher you will ever have. The only time I ever enjoyed coming to class.', ""He is not that hard, but you don't learn that much. He has you keep a journal... just weird stuff."", ""Athey is the best professor ever at PBA. He's so down to earth, he makes teaching fun and he's just plain funny."", ""He's fun and helpful"", 'An amazing man with so much love for teaching and his students!!!  The pterodactyl rocks!!!!!!  ""AAAHHHhhhhhhhhh!!!!""', 'He cracks me up :)', 'unique teaching style, funny, keeps you interested, fun projects, very personable', ""he knows how to keep it fun, simple, and the writing activities we do are always orginal, and inspiring.  i'd take every lit class if he offered it."", 'One of the Best teachers at PBA!!']","['Hilarious', 'Gives good feedback', 'Participation matters', 'Inspirational', 'Caring', 'Tough grader', 'Graded by few things', 'Lots of homework', 'Hilarious', 'Graded by few things', 'Gives good feedback', 'Gives good feedback', 'Participation matters', 'Hilarious', 'Respected', 'Participation matters', 'Hilarious', 'Inspirational', 'Hilarious', 'Caring', 'Gives good feedback', 'Hilarious', 'Caring']"
